s1 table
xx 00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F
06 00 02 12 00 08 04 08 02 04 04 04 02 06 00 06 02
07 04 06 04 12 00 04 02 00 00 14 02 06 04 00 00 06
08 00 00 00 08 00 00 06 10 00 04 12 04 06 06 00 08
09 10 08 04 08 06 02 02 00 02 06 08 02 00 06 00 00
0A 00 10 06 02 12 02 04 00 04 04 06 04 04 00 00 06
0B 00 02 02 02 04 08 06 04 04 00 04 02 06 04 02 14
0C 00 00 00 04 00 04 08 04 00 02 06 00 14 12 08 02
0D 06 06 02 04 02 06 04 06 06 04 08 08 00 02 00 00
0E 00 12 10 10 00 02 04 02 08 06 04 02 00 00 02 02
0F 02 00 00 00 06 08 08 00 06 02 04 06 08 00 06 08
10 00 00 00 04 00 02 08 06 00 06 04 10 08 04 08 04
11 06 10 10 04 04 02 00 04 04 00 02 08 04 02 02 02
12 00 00 08 08 02 08 02 08 06 04 02 08 00 00 08 00
13 04 04 02 02 08 06 00 02 02 02 00 04 06 08 14 00
14 00 08 06 02 08 08 02 06 04 02 00 02 08 06 00 02
15 04 04 08 02 04 00 04 10 08 02 04 04 04 02 00 04
16 00 06 10 02 02 02 02 04 10 08 02 02 00 04 10 00
17 08 02 04 02 06 04 00 06 04 04 02 02 00 04 08 08
18 00 16 02 02 06 00 06 00 06 02 08 00 06 00 02 08
19 00 08 00 02 04 04 10 04 08 00 06 04 02 06 02 04
1A 00 02 04 08 12 04 00 06 04 04 00 02 00 06 04 08
1B 00 06 02 06 04 02 04 04 06 04 08 04 02 00 10 02
1C 00 08 04 04 02 06 06 06 06 04 06 08 00 02 00 02
1D 04 04 04 00 00 02 04 02 04 02 02 04 10 10 08 04
1E 00 00 02 02 12 06 02 00 12 02 02 04 02 06 08 04
1F 02 02 10 14 02 04 02 04 04 06 00 02 04 08 00 00
20 00 00 00 14 00 08 04 02 00 04 02 08 02 06 00 14
21 04 02 06 02 12 02 04 00 06 04 10 02 04 02 02 02
22 10 06 00 02 04 04 10 00 04 00 12 02 08 00 00 02
23 00 06 02 02 02 04 06 10 00 04 08 02 02 06 00 10
24 04 02 00 06 08 02 06 00 08 02 02 00 08 02 12 02
25 02 00 02 16 02 04 06 04 06 08 02 04 00 06 00 02
26 06 10 00 10 00 06 04 04 02 02 04 06 02 04 02 02
27 04 00 02 00 02 02 14 00 04 06 06 02 12 02 04 04
28 14 04 06 04 04 06 02 00 06 06 02 02 04 00 02 02
29 02 02 00 02 00 08 04 02 04 06 04 04 06 04 12 04
2A 02 04 00 00 00 02 08 12 00 08 02 04 08 04 04 06
2B 16 06 02 04 06 10 02 02 02 02 02 02 04 02 02 00
2C 02 06 06 08 02 02 00 06 00 08 04 02 02 06 08 02
2D 06 02 04 02 08 08 02 08 02 04 04 00 02 00 08 04
2E 02 04 08 00 02 02 02 04 00 02 08 04 14 06 00 06
2F 02 02 02 08 00 02 02 06 04 06 08 08 06 02 00 06
30 00 06 08 02 08 04 04 00 10 04 04 06 00 00 02 06
31 00 08 04 00 06 02 02 06 06 00 00 02 06 04 08 10
32 02 04 00 00 06 04 10 06 06 04 06 02 04 06 02 02
33 00 16 06 08 02 00 02 02 04 02 08 04 00 04 06 00
34 00 04 14 08 02 02 02 04 16 02 02 02 00 02 00 04
35 00 06 00 00 10 08 02 02 06 00 00 08 06 04 04 08
36 02 00 02 02 04 06 04 04 02 02 04 02 04 16 10 00
37 06 06 06 08 04 02 04 04 04 00 06 08 02 04 00 00
38 00 02 02 02 08 08 00 02 02 02 00 06 06 04 10 10
39 04 04 16 08 00 06 04 02 04 04 02 06 00 02 02 00
3A 16 06 04 00 02 00 02 06 00 04 08 10 00 00 04 02
3B 02 00 00 02 00 04 04 04 02 06 02 06 06 12 12 02
3C 00 00 08 00 12 08 02 06 06 04 00 02 02 04 06 04
3D 02 04 12 02 02 02 00 04 06 10 02 06 04 02 00 06
3E 04 06 06 06 02 00 04 08 02 10 04 06 00 04 02 00
3F 14 00 00 00 08 00 06 08 04 02 00 00 04 08 04 06
Maximum = 14 for row = 0C and column = 0C
left = 00100001	right = 00000060

s8 table
xx 00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F
00 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
01 00 00 00 06 00 16 10 00 00 00 06 00 14 06 02 04
02 00 00 00 08 00 10 04 02 00 10 02 04 08 08 06 02
03 06 00 02 08 02 06 04 00 06 06 06 02 02 00 08 06
04 00 00 00 02 00 04 06 12 00 06 08 04 10 04 08 00
05 04 10 06 00 00 02 06 00 04 10 04 06 08 02 00 02
06 00 00 10 04 06 04 04 08 02 06 04 02 04 02 02 06
07 06 02 08 02 08 10 06 06 04 02 00 04 00 00 00 06
08 00 00 00 04 00 06 04 02 00 08 06 10 08 02 02 12
09 08 04 00 06 00 04 04 06 02 04 06 02 12 02 00 04
0A 00 00 16 04 06 06 04 00 04 06 04 02 02 00 00 10
0B 02 08 00 06 02 06 00 04 04 10 00 02 10 02 06 02
0C 00 00 00 02 00 10 10 06 00 06 06 06 02 06 10 00
0D 06 00 04 10 02 00 08 06 02 02 06 10 02 02 02 02
0E 00 00 06 08 04 08 00 02 10 06 02 04 06 02 04 02
0F 08 00 04 02 02 04 02 02 02 06 04 06 00 02 14 06
10 00 00 00 04 00 00 08 12 00 00 08 08 02 10 06 06
11 00 06 04 06 02 02 06 06 04 06 04 06 00 04 04 04
12 00 04 00 08 06 02 08 04 02 04 04 06 02 04 10 00
13 04 02 02 06 08 06 02 02 14 02 02 04 02 02 02 04
14 00 16 04 02 06 00 02 06 04 00 04 06 04 06 04 00
15 00 10 06 00 06 00 02 08 02 02 00 08 02 06 06 06
16 00 12 06 04 06 00 00 00 08 06 06 02 02 06 04 02
17 00 06 08 00 06 02 04 06 06 00 02 06 04 04 02 08
18 00 12 02 02 08 00 08 00 10 04 04 02 04 02 00 06
19 06 04 08 00 08 00 04 02 00 00 12 02 04 06 02 06
1A 00 04 06 02 08 08 00 04 08 00 00 00 06 02 00 16
1B 02 04 08 10 02 04 02 08 02 04 08 02 00 02 04 02
1C 00 12 06 04 06 04 02 02 06 00 04 04 02 10 02 00
1D 08 06 00 00 10 00 00 08 10 04 02 02 02 08 04 00
1E 00 04 08 06 08 02 04 04 10 02 02 04 02 00 06 02
1F 04 02 04 02 06 02 04 00 02 06 02 02 02 16 08 02
20 00 00 00 16 00 04 00 00 00 14 06 04 02 00 04 14
21 00 00 02 10 02 08 10 00 00 06 06 00 10 02 02 06
22 08 00 06 00 06 04 10 02 00 06 08 00 04 04 02 04
23 04 08 00 06 00 04 08 06 02 02 10 04 08 00 00 02
24 04 00 04 08 04 06 02 04 08 06 02 00 00 04 04 08
25 00 04 06 08 02 08 08 00 04 02 04 04 02 02 06 04
26 02 06 00 06 04 04 04 06 06 00 04 04 10 04 02 02
27 06 06 00 00 02 02 06 02 04 04 06 10 02 06 02 06
28 10 02 06 02 04 12 12 00 02 02 04 00 00 00 02 06
29 04 00 00 14 02 10 04 02 08 06 04 00 04 02 02 02
2A 08 08 00 02 00 02 04 00 02 06 08 14 02 08 00 00
2B 02 02 00 00 04 02 10 04 06 02 04 00 06 04 08 10
2C 02 06 06 02 04 06 02 00 02 06 04 00 06 04 10 04
2D 08 00 04 04 06 02 00 00 06 08 02 04 06 04 04 06
2E 06 02 02 04 02 02 06 12 04 00 04 02 08 08 00 02
2F 08 12 04 06 06 04 02 02 02 02 04 02 02 04 00 04
30 00 04 06 02 10 02 02 02 04 08 00 00 08 04 06 06
31 04 06 08 00 04 06 00 04 04 06 10 02 02 04 04 00
32 06 06 06 02 04 06 00 02 00 06 08 02 02 06 06 02
33 06 06 04 02 04 00 00 10 02 02 00 06 08 04 00 10
34 00 02 12 04 10 04 00 04 12 00 02 04 02 02 02 04
35 06 04 04 00 10 00 00 04 10 00 00 04 02 08 08 04
36 04 06 02 02 02 02 06 08 06 04 02 06 00 04 10 00
37 02 02 08 02 04 04 04 02 06 02 00 10 06 10 02 00
38 00 04 08 04 02 06 06 02 04 02 02 04 06 04 04 06
39 04 04 04 08 00 06 00 06 04 08 02 02 02 04 08 02
3A 08 08 00 04 02 00 10 04 00 00 00 04 08 06 08 02
3B 08 02 06 04 04 04 04 00 06 04 04 06 04 04 04 00
3C 00 06 06 06 06 00 00 08 08 02 04 08 04 02 04 00
3D 02 02 08 00 10 00 02 12 00 04 00 08 00 02 06 08
3E 06 04 00 00 04 04 00 10 06 02 06 12 02 04 00 04
3F 00 06 06 00 04 04 06 10 00 06 08 02 00 04 08 00
Maximum = 12 for row = 04 and column = 07
left = 00020820	right = 00000002

